kind,record_id,repo_id,status,usable,labeled_focal_method,labeled_focal_signature,top1_pred_name,top1_pred_signature,top1_score,top1_identifier_correct,top3_identifier_correct,top1_signature_correct,top3_signature_correct,top1_primary_correct,top3_primary_correct,ground_truth_rank_identifier,failure_mode,mapping_output_path,n_records,n_signature_records,top1_identifier_accuracy,top3_identifier_accuracy,top1_signature_accuracy,top3_signature_accuracy,top1_primary_accuracy,top3_primary_accuracy
record,c2t_02fa310256c1375f2078,42949039,ok,True,validateGlobalAttributeDefinitionKey,public void validateGlobalAttributeDefinitionKey(GlobalAttributeDefinitionKey globalAttributeDefinitionKey),validateGlobalAttributeDefinitionKey,public void validateGlobalAttributeDefinitionKey(GlobalAttributeDefinitionKey globalAttributeDefinitionKey) throws IllegalArgumentException,8.734536,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_02fa310256c1375f2078.json,,,,,,,,
record,c2t_031adbcda019e50088c5,4398263,ok,True,getBvUserProvidedData, BVUserProvidedData getBvUserProvidedData(),getBvUserProvidedData,BVUserProvidedData getBvUserProvidedData(),9.198718,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_031adbcda019e50088c5.json,,,,,,,,
record,c2t_031f1cbe0fa6000da386,42949039,ok,True,validateBusinessObjectDataSearchKey, void validateBusinessObjectDataSearchKey(BusinessObjectDataSearchKey businessObjectDataSearchKey),validateBusinessObjectDataSearchKey,void validateBusinessObjectDataSearchKey(BusinessObjectDataSearchKey businessObjectDataSearchKey),8.723684,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_031f1cbe0fa6000da386.json,,,,,,,,
record,c2t_0495936089f976d36112,4159017,ok,True,execute,@Override public void execute(Machine machine),execute,@Override public void execute(Machine machine),6.861111,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0495936089f976d36112.json,,,,,,,,
record,c2t_04f1f517e452ed428816,42949039,ok,True,getSecurityRoleFunctionEntity,public SecurityRoleFunctionEntity getSecurityRoleFunctionEntity(SecurityRoleFunctionKey securityRoleFunctionKey),getSecurityRoleFunctionEntity,public SecurityRoleFunctionEntity getSecurityRoleFunctionEntity(SecurityRoleFunctionKey securityRoleFunctionKey),8.098837,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_04f1f517e452ed428816.json,,,,,,,,
record,c2t_04f4f8c1ef40b0ed6839,42949039,ok,True,getStorageUnitByStorageName,"public StorageUnit getStorageUnitByStorageName(BusinessObjectData businessObjectData, String storageName)",getStorageUnitByStorageName,"public StorageUnit getStorageUnitByStorageName(BusinessObjectData businessObjectData, String storageName) throws IllegalStateException",9.25,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_04f4f8c1ef40b0ed6839.json,,,,,,,,
record,c2t_05323ffda6fc7014738a,42949039,ok,True,validateAccess," void validateAccess(File propertiesFile, Boolean messageFlag)",validateAccess,"void validateAccess(File propertiesFile, Boolean messageFlag) throws IOException, ApiException",7.619048,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_05323ffda6fc7014738a.json,,,,,,,,
record,c2t_054cd7f2d8d2dcb3acc6,4398263,ok,True,getFeatureConfigUrl,"static String getFeatureConfigUrl(String remoteFeatureName, String remoteFileName)",getFeatureConfigUrl,"static String getFeatureConfigUrl(String remoteFeatureName, String remoteFileName)",10.556122,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_054cd7f2d8d2dcb3acc6.json,,,,,,,,
record,c2t_056b36e159d3d0376e48,35897457,ok,True,toString,@Override public String toString(),toString,@Override public String toString(),10.125,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_056b36e159d3d0376e48.json,,,,,,,,
record,c2t_05773544a25386642572,4159017,ok,True,execute,@Override public void execute(Machine machine),execute,@Override public void execute(Machine machine),7.097826,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_05773544a25386642572.json,,,,,,,,
record,c2t_05cbfac1cee2577cb55d,4159017,ok,True,getTokenType,public TokenType getTokenType(),getTokenType,public TokenType getTokenType(),9.838235,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_05cbfac1cee2577cb55d.json,,,,,,,,
record,c2t_06051a0d392098408edf,4159017,ok,True,setValue,public void setValue(String value),setValue,public void setValue(String value),7.930851,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_06051a0d392098408edf.json,,,,,,,,
record,c2t_06136c7b80736ce28570,42949039,ok,True,getStorageAttributeIntegerValueByName,"public Integer getStorageAttributeIntegerValueByName(String attributeName, StorageEntity storageEntity, Integer defaultValue)",getStorageAttributeIntegerValueByName,"public Integer getStorageAttributeIntegerValueByName(String attributeName, StorageEntity storageEntity, boolean attributeRequired, boolean attributeValueRequiredIfExists) throws IllegalStateException",9.223333,True,True,False,True,False,True,1,overloads,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_06136c7b80736ce28570.json,,,,,,,,
record,c2t_062d0fb68e45e252bec1,4159017,ok,True,toString,@Override public String toString(),toString,@Override public String toString(),10.916667,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_062d0fb68e45e252bec1.json,,,,,,,,
record,c2t_06aa942f9a28e24ddfeb,4159017,ok,True,or,public abstract T or(T defaultValue),or,public abstract T or(T defaultValue);,7.821429,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_06aa942f9a28e24ddfeb.json,,,,,,,,
record,c2t_06d98b4030f7da4338b6,42949039,ok,True,getNotificationRegistrationStatusEntity,public NotificationRegistrationStatusEntity getNotificationRegistrationStatusEntity(String code),getNotificationRegistrationStatusEntity,public NotificationRegistrationStatusEntity getNotificationRegistrationStatusEntity(String code) throws ObjectNotFoundException,8.294554,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_06d98b4030f7da4338b6.json,,,,,,,,
record,c2t_0780ef62f30ce5c8620c,4398263,ok,True,setUserAuthString,@MainThread public void setUserAuthString(@NonNull String userAuthString),setUserAuthString,@MainThread public void setUserAuthString(@NonNull String userAuthString),10.472222,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0780ef62f30ce5c8620c.json,,,,,,,,
record,c2t_07b87bb9298e9d6905df,42949039,ok,True,invalidateUnregisteredBusinessObjectData,"public BusinessObjectDataInvalidateUnregisteredResponse invalidateUnregisteredBusinessObjectData(
        BusinessObjectDataInvalidateUnregisteredRequest businessObjectDataInvalidateUnregisteredRequest)",invalidateUnregisteredBusinessObjectData,public BusinessObjectDataInvalidateUnregisteredResponse invalidateUnregisteredBusinessObjectData( BusinessObjectDataInvalidateUnregisteredRequest businessObjectDataInvalidateUnregisteredRequest),8.165929,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_07b87bb9298e9d6905df.json,,,,,,,,
record,c2t_085df80ebf4a3588723f,4159017,ok,True,selectSingleNode,public T selectSingleNode(AstNode astNode),selectSingleNode,public T selectSingleNode(AstNode astNode),10.527778,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_085df80ebf4a3588723f.json,,,,,,,,
record,c2t_0887e558490b881535f7,42949039,ok,True,getBusinessObjectFormatExternalInterfaceEntity,"public BusinessObjectFormatExternalInterfaceEntity getBusinessObjectFormatExternalInterfaceEntity(
        BusinessObjectFormatExternalInterfaceKey businessObjectFormatExternalInterfaceKey)",getBusinessObjectFormatExternalInterfaceEntity,public BusinessObjectFormatExternalInterfaceEntity getBusinessObjectFormatExternalInterfaceEntity( BusinessObjectFormatExternalInterfaceKey businessObjectFormatExternalInterfaceKey),7.926399,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0887e558490b881535f7.json,,,,,,,,
record,c2t_08c1bf48a8d4175b8167,42949039,ok,True,getGlobalAttributeDefinitionEntity,public GlobalAttributeDefinitionEntity getGlobalAttributeDefinitionEntity(GlobalAttributeDefinitionKey globalAttributeDefinitionKey),getGlobalAttributeDefinitionEntity,public GlobalAttributeDefinitionEntity getGlobalAttributeDefinitionEntity(GlobalAttributeDefinitionKey globalAttributeDefinitionKey) throws ObjectNotFoundException,8.75,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_08c1bf48a8d4175b8167.json,,,,,,,,
record,c2t_0b23ccfffe49c2574394,42949039,ok,True,resolveDestinationName,"@Override public Destination resolveDestinationName(Session session, String destinationName, boolean pubSubDomain)",resolveDestinationName,"@Override public Destination resolveDestinationName(Session session, String destinationName, boolean pubSubDomain)",1.333333,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0b23ccfffe49c2574394.json,,,,,,,,
record,c2t_0b6cd176e49c7aad4de1,42949039,ok,True,evaluate,"private String evaluate(Reader templateReader, Map<String, Object> variables, String logTag, boolean strict)",evaluate,"public String evaluate(String template, Map<String, Object> variables, String logTag)",8.704545,True,True,False,True,False,True,1,overloads,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0b6cd176e49c7aad4de1.json,,,,,,,,
record,c2t_0baeefc41115a4f109b4,42949039,ok,True,getStoragePlatforms,"@RequestMapping(value = ""/storagePlatforms"", method = RequestMethod.GET) @Secured(SecurityFunctions.FN_STORAGE_PLATFORMS_ALL_GET) public StoragePlatforms getStoragePlatforms()",getStoragePlatforms,"@RequestMapping(value = ""/storagePlatforms"", method = RequestMethod.GET) @Secured(SecurityFunctions.FN_STORAGE_PLATFORMS_ALL_GET) public StoragePlatforms getStoragePlatforms()",9.25,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0baeefc41115a4f109b4.json,,,,,,,,
record,c2t_0bb57ba268d5813cfcd6,42949039,ok,True,checkPermission,"@Before(""serviceMethods()"") public void checkPermission(JoinPoint joinPoint)",checkPermission,"@Before(""serviceMethods()"") public void checkPermission(JoinPoint joinPoint)",7.240741,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0bb57ba268d5813cfcd6.json,,,,,,,,
record,c2t_0bda88813bd4990c0b4b,42949039,ok,True,handleAmazonException,"public void handleAmazonException(AmazonServiceException amazonServiceException, String message)",handleAmazonException,"public void handleAmazonException(AmazonServiceException amazonServiceException, String message) throws IllegalArgumentException, ObjectNotFoundException",8.542308,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0bda88813bd4990c0b4b.json,,,,,,,,
record,c2t_0c752fdfed1db707360a,42949039,ok,True,getProperty,"public static String getProperty(ConfigurationValue configurationValue, Environment environment)",getProperty,"public static <T> T getProperty(ConfigurationValue configurationValue, Class<T> targetType, Environment environment)",9.508621,True,True,False,True,False,True,1,overloads,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0c752fdfed1db707360a.json,,,,,,,,
record,c2t_0ce55297a1dc6e351708,42949039,ok,True,getSecurityFunctionEntity,public SecurityFunctionEntity getSecurityFunctionEntity(String securityFunctionName),getSecurityFunctionEntity,public SecurityFunctionEntity getSecurityFunctionEntity(String securityFunctionName),8.75,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0ce55297a1dc6e351708.json,,,,,,,,
record,c2t_0cfb230ae4807acf9de8,42949039,ok,True,getStorageUnitEntityByBusinessObjectDataAndStorage,"public StorageUnitEntity getStorageUnitEntityByBusinessObjectDataAndStorage(BusinessObjectDataEntity businessObjectDataEntity, StorageEntity storageEntity)",getStorageUnitEntityByBusinessObjectDataAndStorage,"public StorageUnitEntity getStorageUnitEntityByBusinessObjectDataAndStorage(BusinessObjectDataEntity businessObjectDataEntity, StorageEntity storageEntity)",8.75,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0cfb230ae4807acf9de8.json,,,,,,,,
record,c2t_0d6ce629860bb7012a7c,42949039,ok,True,getBusinessObjectDataUploadCredential,"public BusinessObjectDataUploadCredential getBusinessObjectDataUploadCredential(DataBridgeBaseManifestDto manifest, String storageName,
        Integer businessObjectDataVersion, Boolean createNewVersion)",getBusinessObjectDataUploadCredential,"public StorageUnitUploadCredential getBusinessObjectDataUploadCredential(DataBridgeBaseManifestDto manifest, String storageName, Integer businessObjectDataVersion) throws ApiException, URISyntaxException, NoSuchAlgorithmException, KeyStoreException, KeyManagementException",8.723333,True,True,False,False,False,False,1,overloads,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0d6ce629860bb7012a7c.json,,,,,,,,
record,c2t_0da29e80e8d7f28d0b57,42949039,ok,True,doFilter,"@Override @SuppressFBWarnings(value = ""BC_UNCONFIRMED_CAST"", justification = ""The ServletRequest is cast to an HttpServletRequest which is always the case since all requests use the HTTP protocol."") public void doFilter(ServletRequest servletRequest, ServletResponse servletResponse, FilterChain filterChain)",doFilter,"@Override @SuppressFBWarnings(value = ""BC_UNCONFIRMED_CAST"", justification = ""The ServletRequest is cast to an HttpServletRequest which is always the case since all requests use the HTTP protocol."") public void doFilter(ServletRequest servletRequest, ServletResponse servletResponse, FilterChain filterChain) throws IOException, ServletException",8.37,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0da29e80e8d7f28d0b57.json,,,,,,,,
record,c2t_0dd7a576806f20cf1cdc,4398263,ok,True,getBvUserProvidedData, BVUserProvidedData getBvUserProvidedData(),getBvUserProvidedData,BVUserProvidedData getBvUserProvidedData(),9.237879,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0dd7a576806f20cf1cdc.json,,,,,,,,
record,c2t_0e7a3aa8efe90ba2be54,4159017,ok,True,parse,public N parse(File file),parse,public N parse(File file),6.5,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0e7a3aa8efe90ba2be54.json,,,,,,,,
record,c2t_0eb3cfe60883c42836be,42949039,ok,True,validateAndTrimSecurityRoleFunctionKey,public void validateAndTrimSecurityRoleFunctionKey(SecurityRoleFunctionKey securityRoleFunctionKey),validateAndTrimSecurityRoleFunctionKey,public void validateAndTrimSecurityRoleFunctionKey(SecurityRoleFunctionKey securityRoleFunctionKey),8.683962,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0eb3cfe60883c42836be.json,,,,,,,,
record,c2t_103b7de15f15ddce9976,35515269,ok,True,authenticate,@Override public Authentication authenticate(Authentication authentication),authenticate,@Override public Authentication authenticate(Authentication authentication) throws AuthenticationException,9.25,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_103b7de15f15ddce9976.json,,,,,,,,
record,c2t_10a183404b78179cda61,42949039,ok,True,doFilter,"@Override @SuppressFBWarnings(value = ""BC_UNCONFIRMED_CAST"", justification = ""The ServletRequest is cast to an HttpServletRequest which is always the case since all requests use the HTTP protocol."") public void doFilter(ServletRequest servletRequest, ServletResponse servletResponse, FilterChain filterChain)",doFilter,"@Override @SuppressFBWarnings(value = ""BC_UNCONFIRMED_CAST"", justification = ""The ServletRequest is cast to an HttpServletRequest which is always the case since all requests use the HTTP protocol."") public void doFilter(ServletRequest servletRequest, ServletResponse servletResponse, FilterChain filterChain) throws IOException, ServletException",7.801724,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_10a183404b78179cda61.json,,,,,,,,
record,c2t_10a1a5ee528fd99ddb32,4159017,ok,True,peekTo,"public final void peekTo(EndMatcher matcher, Appendable appendable)",peekTo,"public final void peekTo(EndMatcher matcher, Appendable appendable)",9.955882,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_10a1a5ee528fd99ddb32.json,,,,,,,,
record,c2t_10a42d6b862964f31098,42949039,ok,True,updateBusinessObjectDataAttributes,"public void updateBusinessObjectDataAttributes(BusinessObjectDataEntity businessObjectDataEntity, final List<Attribute> attributes)",updateBusinessObjectDataAttributes,"public void updateBusinessObjectDataAttributes(BusinessObjectDataEntity businessObjectDataEntity, final List<Attribute> attributes)",8.869048,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_10a42d6b862964f31098.json,,,,,,,,
record,c2t_1138739c934f04677561,4159017,ok,True,initUncaughtExceptionsHandler, void initUncaughtExceptionsHandler(),initUncaughtExceptionsHandler,void initUncaughtExceptionsHandler(),10.5,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_1138739c934f04677561.json,,,,,,,,
record,c2t_119a85da4d0d34e83267,42949039,ok,True,validate,public void validate(S3PropertiesLocation s3PropertiesLocation),validate,public void validate(S3PropertiesLocation s3PropertiesLocation),7.52451,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_119a85da4d0d34e83267.json,,,,,,,,
record,c2t_119e59c7e2e4987600c0,42949039,ok,True,logMethodTime,"@Around(""serviceMethods()"") public Object logMethodTime(ProceedingJoinPoint pjp)",logMethodTime,"@Around(""serviceMethods()"") public Object logMethodTime(ProceedingJoinPoint pjp) throws Throwable",8.05,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_119e59c7e2e4987600c0.json,,,,,,,,
record,c2t_11ccef51c0e31bfae5cd,42949039,ok,True,getPartitionKeyGroups,"@RequestMapping(value = PARTITION_KEY_GROUPS_URI_PREFIX, method = RequestMethod.GET) @Secured(SecurityFunctions.FN_PARTITION_KEY_GROUPS_ALL_GET) public PartitionKeyGroupKeys getPartitionKeyGroups()",getPartitionKeyGroups,"@RequestMapping(value = PARTITION_KEY_GROUPS_URI_PREFIX, method = RequestMethod.GET) @Secured(SecurityFunctions.FN_PARTITION_KEY_GROUPS_ALL_GET) public PartitionKeyGroupKeys getPartitionKeyGroups()",9.25,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_11ccef51c0e31bfae5cd.json,,,,,,,,
record,c2t_126ffb2f93eaf0df1815,42949039,ok,True,getStorageUnitEntityByBusinessObjectDataAndStorage,"public StorageUnitEntity getStorageUnitEntityByBusinessObjectDataAndStorage(BusinessObjectDataEntity businessObjectDataEntity, StorageEntity storageEntity)",getStorageUnitEntityByBusinessObjectDataAndStorage,"public StorageUnitEntity getStorageUnitEntityByBusinessObjectDataAndStorage(BusinessObjectDataEntity businessObjectDataEntity, StorageEntity storageEntity)",8.430672,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_126ffb2f93eaf0df1815.json,,,,,,,,
record,c2t_1336c9a8dec7494909bc,4159017,ok,True,parse,public N parse(File file),parse,public N parse(File file),6.666667,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_1336c9a8dec7494909bc.json,,,,,,,,
record,c2t_1349eaf405c9e2cdcec4,4398263,ok,True,getAdId,static AdIdResult getAdId(Context applicationContext),getAdId,static AdIdResult getAdId(Context applicationContext),6.457143,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_1349eaf405c9e2cdcec4.json,,,,,,,,
record,c2t_1405bbe423db85430d6d,42949039,ok,True,getAnnotation,public String getAnnotation(String complexTypeName),getAnnotation,public String getAnnotation(String complexTypeName),9.25,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_1405bbe423db85430d6d.json,,,,,,,,
record,c2t_14b3fb37e8e7b13df417,4159017,ok,True,integerRangeValidator,"public static ValidationCallback integerRangeValidator(int lowerBound, int upperBound)",integerRangeValidator,"public static ValidationCallback integerRangeValidator(int lowerBound, int upperBound)",10.27439,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_14b3fb37e8e7b13df417.json,,,,,,,,
record,c2t_14b8ff68f9e7e1f8e2a2,42949039,ok,True,validateEmrClusterDefinitionConfiguration,public void validateEmrClusterDefinitionConfiguration(EmrClusterDefinition emrClusterDefinition),validateEmrClusterDefinitionConfiguration,public void validateEmrClusterDefinitionConfiguration(EmrClusterDefinition emrClusterDefinition) throws IllegalArgumentException,8.688596,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_14b8ff68f9e7e1f8e2a2.json,,,,,,,,
record,c2t_14cf6f680e383639df8b,42949039,ok,True,getStorageAttributeIntegerValueByName,"public Integer getStorageAttributeIntegerValueByName(String attributeName, StorageEntity storageEntity, Integer defaultValue)",getStorageAttributeIntegerValueByName,"public Integer getStorageAttributeIntegerValueByName(String attributeName, StorageEntity storageEntity, boolean attributeRequired, boolean attributeValueRequiredIfExists) throws IllegalStateException",8.723333,True,True,False,True,False,True,1,overloads,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_14cf6f680e383639df8b.json,,,,,,,,
record,c2t_1502905f52ef71362369,4159017,ok,True,parse,public N parse(File file),parse,public N parse(File file),6.25,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_1502905f52ef71362369.json,,,,,,,,
record,c2t_1529c9f525132c09f0ec,42949039,ok,True,getBusinessObjectDefinitionDescriptionSuggestionStatusEntity,public BusinessObjectDefinitionDescriptionSuggestionStatusEntity getBusinessObjectDefinitionDescriptionSuggestionStatusEntity(String code),getBusinessObjectDefinitionDescriptionSuggestionStatusEntity,public BusinessObjectDefinitionDescriptionSuggestionStatusEntity getBusinessObjectDefinitionDescriptionSuggestionStatusEntity(String code) throws ObjectNotFoundException,8.75,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_1529c9f525132c09f0ec.json,,,,,,,,
