2026-03-01 20:53:47,597 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:36:50,942 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:42:09,617 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:42:09,618 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:48:20,953 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:48:20,954 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:49:04,945 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:49:04,945 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:49:22,565 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:49:22,566 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:50:14,140 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:50:14,140 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:02:16,896 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:02:16,897 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:03:06,378 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:03:06,378 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:07:47,273 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:07:47,273 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:07:58,893 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:07:58,893 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:07:58,991 | INFO | phase2.pipeline | RQ1 evaluation completed: {'status': 'ok', 'output_csv': 'C:\\Users\\garre\\Desktop\\P2\\New folder\\artifacts\\rq1_summary.csv', 'per_case_dir': 'C:\\Users\\garre\\Desktop\\P2\\New folder\\artifacts\\rq1_cases', 'rows_written': 2, 'approach_pass_rates': {'healing': 0.0, 'regen': None}, 'with_ast_similarity': False}
2026-03-01 22:09:02,044 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:09:02,044 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:10:02,647 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:10:02,647 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:10:29,006 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:10:29,007 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:17:17,350 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:17:17,350 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:17:34,127 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:17:34,127 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:17:37,666 | INFO | phase2.pipeline | RQ3 evaluation completed: {'status': 'ok', 'output_csv': 'C:\\Users\\garre\\Desktop\\P2\\New folder\\artifacts\\rq3_quality.csv', 'per_case_dir': 'C:\\Users\\garre\\Desktop\\P2\\New folder\\artifacts\\rq3_cases', 'rows_written': 3, 'approach_counts': {'human': {'evaluated': 1}, 'healing': {'evaluated': 1}, 'regen': {'evaluated': 0}}, 'timeout_seconds': 3600}
2026-03-01 22:23:11,455 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:23:11,455 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:33:52,677 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:33:52,677 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:34:46,600 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:34:46,600 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-05 20:21:18,793 | INFO | phase2.config | Loaded config from C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\phase2\configs\experiments\default.yaml
2026-03-05 20:21:18,795 | INFO | phase2.cli | Logs writing to C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\phase2\artifacts\logs\phase2.log
2026-03-05 20:21:18,798 | INFO | phase2.repo | Cloning https://github.com/mheath/adbcj into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\13899
2026-03-05 20:37:40,794 | INFO | phase2.config | Loaded config from C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\phase2\configs\experiments\default.yaml
2026-03-05 20:37:40,795 | INFO | phase2.cli | Logs writing to C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\phase2\artifacts\logs\phase2.log
2026-03-05 20:37:40,841 | INFO | phase2.repo | Cloning https://github.com/kh498/BukkitUtil into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\105200994
2026-03-05 20:37:47,982 | INFO | phase2.repo | Cloning https://github.com/graalvm/graal-js-archetype into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\109219866
2026-03-05 20:37:49,718 | INFO | phase2.repo | Cloning https://github.com/europeana/europeana-client into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\11613195
2026-03-05 20:37:56,684 | INFO | phase2.repo | Cloning https://github.com/eldermoraes/javaee-nosql into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\116163042
2026-03-05 20:37:57,938 | INFO | phase2.repo | Cloning https://github.com/PicnicSupermarket/reactive-support into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\120003293
2026-03-05 20:37:59,467 | INFO | phase2.repo | Cloning https://github.com/Monnoroch/android-testing into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\122467588
2026-03-05 20:38:01,131 | INFO | phase2.repo | Cloning https://github.com/UnknownDomainGame/PanguEngine into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\128403104
2026-03-05 20:38:11,932 | INFO | phase2.repo | Cloning https://github.com/iooifun/Spring into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\144361208
2026-03-05 20:43:06,010 | INFO | phase2.config | Loaded config from C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\phase2\configs\experiments\default.yaml
2026-03-05 20:43:06,011 | INFO | phase2.cli | Logs writing to C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\phase2\artifacts\logs\phase2.log
2026-03-05 20:43:06,053 | INFO | phase2.repo | Reusing existing clone at C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\105200994
2026-03-05 20:43:06,651 | INFO | phase2.repo | Reusing existing clone at C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\109219866
2026-03-05 20:43:07,174 | INFO | phase2.repo | Reusing existing clone at C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\11613195
2026-03-05 20:43:07,670 | INFO | phase2.repo | Reusing existing clone at C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\116163042
2026-03-05 20:43:08,156 | INFO | phase2.repo | Reusing existing clone at C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\120003293
2026-03-05 20:43:08,781 | INFO | phase2.repo | Reusing existing clone at C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\122467588
2026-03-05 20:43:09,273 | INFO | phase2.repo | Reusing existing clone at C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\128403104
2026-03-05 20:43:09,771 | INFO | phase2.repo | Reusing existing clone at C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\144361208
2026-03-05 20:43:10,401 | INFO | phase2.repo | Cloning https://github.com/stanford-futuredata/momentsketch into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\147378679
2026-03-05 20:43:12,028 | INFO | phase2.repo | Cloning https://github.com/alibaba/Alink into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\150938406
2026-03-05 20:43:38,279 | INFO | phase2.repo | Cloning https://github.com/terrestris/shogun-core into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\15997656
2026-03-05 20:43:41,822 | INFO | phase2.repo | Cloning https://github.com/nervosnetwork/ckb-sdk-java into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\162657830
2026-03-05 20:43:44,852 | INFO | phase2.repo | Cloning https://github.com/apache/incubator-dlab into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\165292138
2026-03-05 20:44:05,902 | INFO | phase2.repo | Cloning https://github.com/Netflix/fabricator into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\16563359
2026-03-05 20:44:07,502 | INFO | phase2.repo | Cloning https://github.com/aragozin/heaplib into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\175086428
2026-03-05 20:44:09,745 | INFO | phase2.repo | Cloning https://github.com/HabchiSarra/Sniffer into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\175298978
2026-03-05 20:44:11,430 | INFO | phase2.repo | Cloning https://github.com/zendesk/android-autoprovider into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\17990464
2026-03-05 20:44:13,549 | WARNING | phase2.repo | Skipping dead repository https://github.com/zendesk/android-autoprovider. Git error code: 128
2026-03-05 20:44:13,550 | INFO | phase2.repo | Cloning https://github.com/powermock/powermock into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\20249391
2026-03-05 20:44:17,907 | INFO | phase2.repo | Cloning https://github.com/commons-rdf/commons-rdf into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\20555659
2026-03-05 20:44:21,564 | INFO | phase2.repo | Cloning https://github.com/dice-group/IGUANA into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\20746753
2026-03-05 20:45:09,192 | INFO | phase2.repo | Cloning https://github.com/oprisnik/semdroid into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\23257998
2026-03-05 20:45:11,293 | INFO | phase2.repo | Cloning https://github.com/moquette-io/moquette into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\24653868
2026-03-05 20:45:15,844 | INFO | phase2.repo | Cloning https://github.com/hadoop002/smart-retry into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\248529016
2026-03-05 20:45:16,997 | WARNING | phase2.repo | Skipping dead repository https://github.com/hadoop002/smart-retry. Git error code: 128
2026-03-05 20:45:16,998 | INFO | phase2.repo | Cloning https://github.com/googleapis/google-http-java-client into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\28992330
2026-03-05 20:45:21,427 | INFO | phase2.repo | Cloning https://github.com/hpadmanabhan/rdrand-util into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\30000823
2026-03-05 20:45:23,719 | INFO | phase2.repo | Cloning https://github.com/pulsarIO/jetstream into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\30008530
2026-03-05 20:45:26,783 | INFO | phase2.repo | Cloning https://github.com/w2ji/VitaminSaber into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\32488797
2026-03-05 20:45:28,490 | INFO | phase2.repo | Cloning https://github.com/zalando-stups/fullstop into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\32521417
2026-03-05 20:45:31,774 | INFO | phase2.repo | Cloning https://github.com/GoogleCloudPlatform/java-docs-samples into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\32895424
2026-03-05 20:45:50,499 | WARNING | phase2.repo | Skipping dead repository https://github.com/GoogleCloudPlatform/java-docs-samples. Git error code: 128
2026-03-05 20:45:50,500 | INFO | phase2.repo | Cloning https://github.com/Smartling/smartling-keycloak-extras into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\35515269
2026-03-05 20:45:52,359 | INFO | phase2.repo | Cloning https://github.com/nxparser/nxparser into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\35897457
2026-03-05 20:45:59,048 | INFO | phase2.repo | Cloning https://github.com/MammatusTech/qbit-microservices-examples into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\39970786
2026-03-05 20:46:00,580 | INFO | phase2.repo | Cloning https://github.com/dkpro/dkpro-keyphrases into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\40266095
2026-03-05 20:46:03,604 | WARNING | phase2.repo | Skipping dead repository https://github.com/dkpro/dkpro-keyphrases. Git error code: 128
2026-03-05 20:46:03,608 | INFO | phase2.repo | Cloning https://github.com/SonarSource/sslr into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\4159017
2026-03-05 20:46:06,135 | INFO | phase2.repo | Cloning https://github.com/orange-cloudfoundry/spring-cloud-s3-connectors into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\42510870
2026-03-05 20:46:07,412 | INFO | phase2.repo | Cloning https://github.com/FINRAOS/herd into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\42949039
2026-03-05 20:46:09,960 | WARNING | phase2.repo | Skipping dead repository https://github.com/FINRAOS/herd. Git error code: 128
2026-03-05 20:46:09,961 | INFO | phase2.repo | Cloning https://github.com/bazaarvoice/bv-android-sdk into C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\repos\4398263
2026-03-05 20:46:12,192 | WARNING | phase2.repo | Skipping dead repository https://github.com/bazaarvoice/bv-android-sdk. Git error code: 128
2026-03-05 21:29:02,080 | INFO | phase2.config | Loaded config from C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\phase2\configs\experiments\default.yaml
2026-03-05 21:29:02,082 | INFO | phase2.cli | Logs writing to C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\phase2\artifacts\logs\phase2.log
2026-03-05 21:29:23,709 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/kh498/BukkitUtil at 105200994. Git error code: 128
2026-03-05 21:29:44,897 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/graalvm/graal-js-archetype at 109219866. Git error code: 128
2026-03-05 21:30:06,084 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/europeana/europeana-client at 11613195. Git error code: 128
2026-03-05 21:30:27,273 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/eldermoraes/javaee-nosql at 116163042. Git error code: 128
2026-03-05 21:30:48,454 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/PicnicSupermarket/reactive-support at 120003293. Git error code: 128
2026-03-05 21:31:09,644 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/Monnoroch/android-testing at 122467588. Git error code: 128
2026-03-05 21:31:30,834 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/UnknownDomainGame/PanguEngine at 128403104. Git error code: 128
2026-03-05 21:31:52,033 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/iooifun/Spring at 144361208. Git error code: 128
2026-03-05 21:32:13,217 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/stanford-futuredata/momentsketch at 147378679. Git error code: 128
2026-03-05 21:32:34,422 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/alibaba/Alink at 150938406. Git error code: 128
2026-03-05 21:32:55,627 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/terrestris/shogun-core at 15997656. Git error code: 128
2026-03-05 21:33:16,848 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/nervosnetwork/ckb-sdk-java at 162657830. Git error code: 128
2026-03-05 21:33:38,068 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/apache/incubator-dlab at 165292138. Git error code: 128
2026-03-05 21:33:59,274 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/Netflix/fabricator at 16563359. Git error code: 128
2026-03-05 21:34:20,476 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/aragozin/heaplib at 175086428. Git error code: 128
2026-03-05 21:34:41,684 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/HabchiSarra/Sniffer at 175298978. Git error code: 128
2026-03-05 21:34:41,685 | WARNING | phase2.repo | Skipping checkout for https://github.com/zendesk/android-autoprovider. Repository clone not found.
2026-03-05 21:35:02,889 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/powermock/powermock at 20249391. Git error code: 128
2026-03-05 21:35:24,107 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/commons-rdf/commons-rdf at 20555659. Git error code: 128
2026-03-05 21:35:45,300 | WARNING | phase2.repo | Skipping broken checkout for https://github.com/dice-group/IGUANA at 20746753. Git error code: 128
2026-03-05 21:37:37,998 | INFO | phase2.config | Loaded config from C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\phase2\configs\experiments\default.yaml
2026-03-05 21:37:37,999 | INFO | phase2.cli | Logs writing to C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\phase2\artifacts\logs\phase2.log
2026-03-05 21:50:23,441 | INFO | phase2.config | Loaded config from C:\Users\osart\OneDrive - Umich\SWTProject\Phase2_SWE_Testing\phase2\configs\experiments\default.yaml
